Max molecule size,LSTM hidden size,da,r,Learning rate,Loss function,MSE
20,300,200,150,0.0001,mse,0.9394
20,100,40,150,0.0001,mse,0.9461
20,300,40,10,0.0001,mse,0.9464
20,150,200,50,0.0001,mse,0.9484
20,300,200,50,0.0001,mse,0.9506
20,300,200,30,0.0001,mse,0.9509
20,300,60,50,0.0001,mse,0.9527
20,100,80,30,0.0001,mse,0.9531
20,100,200,200,0.0001,mse,0.9538
20,150,200,10,0.0001,mse,0.9546
20,100,20,200,0.0001,mse,0.9566
20,100,20,30,0.0001,mse,0.9572
20,100,60,10,0.0001,mse,0.9572
20,150,200,100,0.0001,mse,0.9572
20,300,20,200,0.0001,mse,0.9578
20,100,200,100,0.0001,mse,0.9601
20,300,20,50,0.0001,mse,0.9608
20,100,200,150,0.0001,mse,0.9644
20,150,100,50,0.0001,mse,0.9655
20,100,60,100,0.0001,mse,0.9658
20,100,60,30,0.0001,mse,0.9664
20,100,100,100,0.0001,mse,0.9697
20,150,200,150,0.0001,mse,0.9705
20,300,100,150,0.0001,mse,0.9705
20,150,60,100,0.0001,mse,0.9720
20,300,100,100,0.0001,mse,0.9730
20,150,40,50,0.0001,mse,0.9739
20,150,60,30,0.0001,mse,0.9777
20,150,100,200,0.0001,mse,0.9786
20,100,80,50,0.0001,mse,0.9810
20,100,100,150,0.0001,mse,0.9848
20,150,80,150,0.0001,mse,0.9850
20,150,60,200,0.0001,mse,0.9856
20,150,100,30,0.0001,mse,0.9870
20,300,100,30,0.0001,mse,0.9876
20,150,80,100,0.0001,mse,0.9937
20,150,80,50,0.0001,mse,0.9943
20,150,80,30,0.0001,mse,0.9950
20,300,80,100,0.0001,mse,0.9972
20,300,100,200,0.0001,mse,0.9984
20,300,60,100,0.0001,mse,1.0006
20,100,40,100,0.0001,mse,1.0010
20,100,200,50,0.0001,mse,1.0013
20,150,200,200,0.0001,mse,1.0015
20,300,40,200,0.0001,mse,1.0027
20,150,20,100,0.0001,mse,1.0051
20,150,60,150,0.0001,mse,1.0079
20,300,80,50,0.0001,mse,1.0079
20,150,80,200,0.0001,mse,1.0097
20,300,40,150,0.0001,mse,1.0101
20,150,100,100,0.0001,mse,1.0120
20,300,60,30,0.0001,mse,1.0138
20,100,40,200,0.0001,mse,1.0152
20,300,100,10,0.0001,mse,1.0188
20,100,40,50,0.0001,mse,1.0210
20,300,40,100,0.0001,mse,1.0216
20,300,20,30,0.0001,mse,1.0224
20,150,60,10,0.0001,mse,1.0248
20,300,40,50,0.0001,mse,1.0260
20,100,20,150,0.0001,mse,1.0295
20,100,60,200,0.0001,mse,1.0301
20,300,80,150,0.0001,mse,1.0311
20,150,20,200,0.0001,mse,1.0318
20,300,100,50,0.0001,mse,1.0322
20,100,80,150,0.0001,mse,1.0393
20,100,20,100,0.0001,mse,1.0394
20,150,40,200,0.0001,mse,1.0395
20,300,20,10,0.0001,mse,1.0416
20,150,20,150,0.0001,mse,1.0460
